wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price
panel,10,14,74,10,46.737882,30.850155,247500
panel,10,14,74,10,46.737882,30.850155,289900
panel,16,17,73,10,46.73465,30.855958,295000
brick,1,5,73,9.8,46.761776,30.041513,299000
panel,6,17,73,10.5,46.716661,30.881102,359900
brick,5,5,73.9,7,46.757354,30.080123,366000
panel,2,17,73.1,10.2,46.79644,30.810881,365000
brick,5,5,74,8.3,46.792119,30.010064,19800
brick,1,5,73.5,8.5,46.792119,30.010064,18900
monolith,8,10,73.3,9.9,46.793227,30.000421,275000
brick,2,5,73,8.5,46.792832,30.035243,165000
panel,16,17,73,10.2,46.736402,30.85064,172800
panel,9,17,73,10.2,46.736402,30.85064,199900
monolith,12,17,73,10.2,46.74188,30.800242,185000
monolith,3,17,74,10,46.739498,30.86868,265000
panel,1,17,73.8,10.1,46.79225,30.812588,129000
panel,2,14,74,11.5,46.759638,30.804629,143000
monolith,3,25,73,16,46.792564,30.086285,16800
monolith,6,7,77,13.2,46.759243,30.040444,185000
monolith,6,6,77,13.2,46.759243,30.040444,219900
panel,1,14,75.3,9,46.739919,30.8025,25200
panel,2,17,75,10,46.797989,30.09985,221000
brick,5,6,75,9,46.789932,30.604544,228000
brick,2,8,75,8,46.802249,30.094028,24400
panel,1,17,76,10.5,46.757642,30.825012,30000
monolith,27,35,77,15,46.792265,30.080111,319000
panel,9,9,75.7,11,46.825168,30.830446,319000
panel,21,22,75,10.1,46.73851,30.060384,388000
panel,3,17,75,10,46.7389,30.840316,138000
panel,5,16,77,12,46.779722,30.82893,19500
panel,9,17,76,12,46.723247,30.905482,175000
panel,17,17,75,10,46.809934,30.000886,179000
panel,4,12,76.2,12.9,46.713136,30.89165,183000
panel,3,16,76.9,10,46.77837,30.825523,188000
panel,8,12,76.3,13,46.712305,30.891469,187880
panel,12,17,75,10,46.73926,30.8549,28800
panel,14,16,76,17,46.828446,30.809255,28600
panel,14,16,76,17,46.828446,30.809255,26100
brick,2,5,75,9,46.772456,30.033284,212000
panel,15,17,75.1,10,46.736888,30.85861,40500
stalin,2,5,76,9.5,46.815736,30.02095,125000
panel,3,14,75,10,46.734775,30.85426,208000
brick,2,5,76.9,20,46.797999,30.0806,29200
panel,1,14,77,8.7,46.739625,30.803961,288000
panel,2,16,76,13,46.709358,30.893562,31900
panel,1,17,76,10,46.79851,30.094361,185000
monolith,18,32,75,12,46.812727,30.038863,185000
monolith,5,6,77,13.1,46.759243,30.040444,185000
monolithBrick,14,22,75,13,46.77351,30.825514,28300
panel,14,17,76,10,46.746365,30.060663,359000
panel,5,22,76,10.5,46.76684,30.035395,692000
brick,4,4,76.1,10,46.796203,30.094226,279500
block,21,27,75,11,46.79806,30.03219,30800
brick,15,17,76,10,46.752835,30.805581,239000
monolith,24,37,77,18,46.792265,30.080111,249000
monolith,35,35,75.5,29,46.791607,30.080803,495000
brick,9,9,75,10,46.788373,30.604849,179500
monolithBrick,10,10,75,15,46.793227,30.000421,205000
monolithBrick,7,18,77,11,46.793596,30.001849,204000
panel,3,12,75,9,46.820834,30.802092,525000
panel,3,14,75,10,46.733143,30.85409,27500
monolith,1,17,75,10,46.738637,30.860205,15499999
panel,7,12,76.1,10,46.712305,30.891469,19900
panel,2,12,75,10.5,46.713365,30.8805,20000
panel,7,17,75,10.5,46.738748,30.860836,205000
panel,10,12,75,10,46.712852,30.889654,205000
panel,6,17,76.1,12.8,46.723247,30.905482,236000
brick,1,5,76,8.1,46.816404,30.033545,26500
panel,13,17,76,10,46.742428,30.85003,258700
brick,5,5,77,8.2,46.809732,30.011008,259900
panel,9,17,75.2,10.2,46.736458,30.85605,24600
panel,9,17,75,10,46.736458,30.85605,24600
panel,11,17,75,10.5,46.739073,30.866433,295000
panel,11,12,77,10.1,46.713365,30.8805,3000
brick,5,5,76,9,46.815913,30.032045,323500
panel,3,17,76,10,46.809934,30.000886,3300
brick,3,5,76.5,8.1,46.833324,30.686195,429000
panel,10,10,75,44,46.711123,30.896895,524500
panel,8,14,76,12.8,46.709617,30.895081,209900
panel,11,12,76.3,8.3,46.74786,30.00052,28300
brick,7,9,76.5,9.7,46.810218,30.080482,21800
monolithBrick,4,6,77,12.5,46.743826,30.050604,185000
panel,16,17,76,10,46.757268,30.823358,185000
monolith,14,14,77,13,46.805958,30.08052,195000
panel,5,17,76,10,46.746573,30.080051,195000
panel,13,17,76,20,46.746365,30.060663,20000
monolith,2,14,75,10,46.754238,30.810331,215000
brick,7,14,76,9,46.786151,30.688611,239000
monolith,9,16,75,12,46.81648,30.002158,25500
brick,2,5,76.4,9,46.785215,30.039061,28600
monolith,15,35,76,15,46.792265,30.080111,595000
panel,13,16,75,10.2,46.791233,30.603026,165000
monolith,6,18,76.8,12,46.793596,30.001849,194000
panel,1,17,75,10.6,46.819312,30.803386,209000
panel,13,16,79,10.5,46.816399,30.834965,249000
monolith,3,12,78.3,11,46.736883,30.84092,264000
panel,3,17,78.1,10.3,46.745671,30.800958,278000
brick,4,5,78.4,8,46.747461,30.802302,297000
brick,2,5,78,9,46.761001,30.089231,23400
panel,6,17,78,10.5,46.716661,30.881102,35060
panel,8,17,78,11,46.814522,30.830949,40000
panel,12,17,78,11,46.797989,30.09985,399900
panel,16,17,78,12,46.717918,30.893105,209990
monolith,26,30,78.6,12.8,46.81084,30.020688,255000
monolith,26,30,79,13,46.81084,30.020688,24200
monolith,8,11,78.8,14,46.799664,30.012551,37100
brick,2,5,78,9,46.761001,30.089231,410400
panel,2,25,79,10,46.775272,30.038629,502000
panel,10,12,78,13,46.712305,30.891469,299500
panel,7,14,78,13,46.71734,30.885154,359500
panel,10,22,79,10,46.73851,30.060384,47800
stalin,4,5,78,9,46.757024,30.00495,274900
brick,3,5,78.5,9.3,46.792119,30.010064,168000
brick,9,14,78,8.2,46.745681,30.812381,169200
brick,9,14,78.3,8.4,46.745681,30.812381,199900
panel,21,22,78,10,46.724505,30.821661,21070
brick,2,5,78.5,7,46.817148,30.020062,25050
block,6,22,78,10.6,46.774598,30.829604,26040
panel,1,16,80,10,46.816399,30.834965,26080
brick,3,5,81,8,46.791445,30.695001,37050
brick,3,5,81,8,46.798495,30.085216,385000
brick,3,5,80,10.5,46.797296,30.083114,139000
brick,3,14,81,13,46.800944,30.005338,149900
panel,11,16,80,13,46.711133,30.895026,159100
monolith,13,30,81.3,11.5,46.81084,30.020688,173000
panel,11,17,81.4,11,46.72347,30.903192,179000
panel,12,12,80,13,46.713365,30.8805,219000
brick,4,5,80.7,10,46.745392,30.094424,29200
panel,5,12,80.5,9,46.825259,30.805814,295000
panel,14,17,80,10,46.742048,30.848063,46000
brick,4,5,80,8,46.760889,30.003504,238000
panel,3,12,80,12,46.724865,30.804494,212500
panel,8,10,81.8,10,46.716042,30.891505,22060
monolith,9,10,82,15,46.799866,30.016055,225000
panel,12,17,80,10,46.797989,30.09985,287000
panel,14,14,80,12,46.812863,30.0806,30000
brick,4,5,80.6,8,46.80229,30.089,41500
panel,14,17,80,11,46.805356,30.00896,22070
panel,9,12,81,8,46.74786,30.00052,24000
brick,5,8,80.6,8.4,46.768978,30.02909,265000
brick,3,8,80,10,46.802249,30.094028,278000
monolith,12,14,80,13,46.805958,30.08052,345400
panel,9,17,81,13,46.804435,30.81206,229000
monolith,12,14,80,13,46.805958,30.08052,258000
brick,2,8,80.8,9,46.783549,30.69295,268000
panel,16,17,80,13,46.795666,30.821,49600
brick,2,8,82,11,46.794463,30.005859,64750
panel,12,17,80,13,46.731997,30.825245,235000
panel,12,14,80.5,9,46.792129,30.660135,155000
monolithBrick,18,18,80,11,46.794421,30.002262,155000
monolith,14,16,80,15,46.800423,30.010063,168000
panel,8,12,81,8,46.71445,30.894119,185000
panel,6,12,80.1,10,46.712852,30.889654,185000
panel,9,17,81.1,10,46.71586,30.882926,199900
panel,5,12,80,10,46.71445,30.894119,20000
brick,3,5,81,8,46.808199,30.029018,227700
panel,15,22,80,10,46.814654,30.833994,263000
brick,5,5,80.1,8.1,46.761077,30.091846,279000
panel,3,12,80,13,46.715079,30.886591,31000
panel,5,17,82,10.2,46.736458,30.85605,398000
panel,2,12,80.2,9,46.823798,30.058205,442000
monolith,33,37,80,15,46.80829,30.05896,195000
block,15,16,82,12,46.75942,30.000481,213000
panel,14,14,80,12.8,46.812863,30.0806,169000
monolith,1,12,81,20,46.772208,30.031209,195000
brick,2,12,81,7,46.781388,30.02495,24200
brick,1,5,80,9,46.796481,30.00893,44000
brick,2,6,80,15,46.761198,30.005685,194990
monolith,14,18,80,15,46.800423,30.010063,109000
panel,8,9,83,12,46.734577,30.860459,165000
panel,5,14,83.2,12,46.739407,30.000419,182000
brick,8,12,83,8,46.781514,30.028469,56000
panel,3,14,84,9,46.741617,30.800168,46500
panel,3,14,84,9,46.741617,30.800168,29900
panel,3,12,83,8.6,46.715124,30.89181,43900
brick,2,5,83.7,9.2,46.762809,30.080965,56000
stalin,5,6,83.4,12,46.763022,30.008416,46500
panel,12,17,83.8,10.2,46.736458,30.85605,29900
panel,9,14,84,10,46.71765,30.89526,43900
brick,8,8,83,9,46.783549,30.69295,48900
brick,3,16,84,8,46.79973,30.00684,80500
panel,8,12,84,11,46.716701,30.894406,80500
panel,9,17,84,12,46.743036,30.808542,158950
monolithBrick,8,17,83.2,10,46.717918,30.893105,105000
monolithBrick,8,17,84,10,46.717918,30.893105,48500
panel,9,14,84,10,46.71765,30.89526,84500
brick,5,5,84,8.1,46.794846,30.080131,84499
panel,3,14,83,12,46.742524,30.09916,105000
brick,8,8,83,9,46.783549,30.69295,95000
monolith,3,14,83.35,8.8,46.741617,30.800168,80000
panel,12,12,85,12,46.716701,30.894406,95000
monolith,32,32,86.25,15.3,46.760221,30.038845,115000
brick,12,12,85.3,13,46.780846,30.022388,99000
monolith,13,35,85,15,46.792265,30.080111,108000
panel,7,8,85.6,8.8,46.73144,30.852185,83000
brick,8,10,85.4,10,46.716042,30.891505,85000
panel,7,8,85.6,9,46.73144,30.852185,89000
brick,5,8,86.2,9,46.784319,30.038953,108000
panel,5,14,87,8,46.742874,30.852545,18000
monolith,2,13,86.7,11.9,46.723607,30.824032,115000
panel,10,14,85.6,10.1,46.740765,30.061808,115000
monolith,2,13,86.7,11.9,46.723607,30.824032,115000
monolith,8,32,85,14,46.760449,30.03006,20800
monolith,8,32,86,14,46.760449,30.03006,85000
monolithBrick,3,7,85,15,46.782132,30.832234,90000
stalin,7,11,86.5,10,46.78202,30.026655,105000
monolith,18,28,85,20,46.792265,30.080111,108500
panel,5,12,85,12,46.743781,30.806865,110000
monolith,29,30,86,12.4,46.809965,30.020905,145000
brick,3,4,85,12,46.792847,30.801934,96000
brick,2,6,85,15,46.790469,30.602594,88800
panel,8,15,86,12,46.744429,30.099652,95000
brick,8,10,93,10.6,46.764465,30.085901,69000
monolith,4,21,93,25,46.750195,30.088802,94000
block,12,17,92.7,12,46.820986,30.052886,95000
panel,14,14,90,10.8,46.806636,30.081533,165000
panel,8,12,92.4,10.9,46.715043,30.894103,89000
stalin,7,9,90.7,9.1,46.801268,30.0981,99990
brick,7,7,93.4,15,46.782132,30.832234,105000
monolithBrick,9,14,92,15,46.809616,30.0913,11005
monolith,30,30,90.8,11.1,46.820779,30.002122,115000
brick,11,12,90,18,46.780846,30.022388,16600
monolith,2,12,94,14,46.763812,30.032081,12000
monolith,13,29,91,11,46.821082,30.00284,107000
monolith,3,28,90,20,46.792569,30.080803,11000
brick,10,10,93.4,12,46.764465,30.085901,111000
brick,2,12,90.3,12.7,46.772208,30.031209,166000
monolith,5,9,92.2,20.5,46.796795,30.065991,11900
brick,2,7,90.8,12,46.790236,30.603924,92000
monolithBrick,28,29,90,13,46.820273,30.000649,95000
monolithBrick,4,7,94,22,46.781585,30.830455,108000
monolith,27,29,91,15,46.820273,30.000649,115000
brick,4,5,91.8,13.5,46.785625,30.688054,135000
panel,1,7,94,12,46.73624,30.861052,135000
brick,4,4,98,14,46.759203,30.008155,79500
brick,2,5,98.3,8.3,46.791344,30.603151,82000
brick,2,5,98.3,8.3,46.791344,30.603151,83000
panel,20,24,97,11,46.749354,30.086213,93500
panel,13,14,96,14,46.710053,30.883,94500
brick,3,5,98.6,9.4,46.760464,30.032539,98000
brick,3,5,97,8.3,46.745716,30.001499,109000
stalin,5,9,96.4,8.2,46.762105,30.034004,122000
panel,2,10,98,15,46.715043,30.894103,13990
monolith,13,18,95,8,46.814952,30.095026,15000
brick,4,5,99,10,46.760464,30.032539,165000
panel,14,17,96,13,46.71236,30.882566,164000
stalin,4,10,96.5,9,46.794665,30.006606,22000
monolith,14,20,97.5,12,46.820824,30.018256,99900
monolith,20,25,97,11,46.749354,30.086213,145000
brick,3,5,95.4,9.8,46.793657,30.00431,176000
panel,8,14,95,9,46.758747,30.833896,97500
brick,1,9,96,12,46.795438,30.695905,109000
monolith,2,16,102.1,17.1,46.800423,30.010063,93500
monolith,20,28,109.7,12.2,46.792564,30.086285,81000
monolith,3,10,114.9,22,46.811953,30.084911,89000
monolithBrick,8,18,111,11,46.794421,30.002262,99000
monolith,32,35,115,10,46.792265,30.080111,92500
monolith,24,35,102.2,22,46.792265,30.080111,93500
monolith,10,39,101.4,20,46.788424,30.608541,99500
brick,3,12,112.5,14,46.791511,30.682556,10200
monolith,14,19,119,11.3,46.79434,30.808186,11000
panel,6,14,101,12,46.744191,30.80331,126000
brick,2,6,103,25,46.764131,30.031146,133500
monolith,20,35,114.3,25,46.791618,30.086339,218000
monolith,24,28,103,23,46.792265,30.080111,86000
monolith,2,10,108.1,14,46.790469,30.602594,87000
brick,5,5,100,10,46.761872,30.044001,107990
panel,3,12,114.8,11,46.73665,30.84606,136000
panel,8,17,114,11.7,46.71236,30.882566,137000
panel,8,17,114,11.7,46.71236,30.882566,115000
panel,8,17,113.2,11.7,46.71236,30.882566,20110
panel,6,12,112,11,46.735748,30.840119,20110
monolithBrick,10,14,105,15,46.742225,30.059335,20390
monolithBrick,13,22,102,15,46.77351,30.825514,206340
panel,3,22,100.8,10.3,46.76684,30.035395,127000
panel,3,22,101,10,46.76684,30.035395,15000
panel,11,17,112,11.4,46.819454,30.80331,19900
brick,9,9,101.9,8.3,46.801268,30.0981,19900
brick,1,6,114,10,46.761198,30.005685,106000
stalin,5,5,105,12,46.797296,30.083114,81000
panel,11,12,115,16.5,46.713365,30.8805,10000
brick,5,5,103,10,46.801521,30.08818,10000
monolith,13,22,114.5,13.8,46.774168,30.828111,108500
monolithBrick,13,22,117,14,46.774168,30.828111,115000
brick,2,7,117,14,46.761386,30.00681,12000
monolith,14,25,103.4,15,46.754471,30.096966,12000
monolith,22,22,118.5,38,46.774168,30.828111,125000
brick,2,6,112,40,46.761386,30.00681,12990
monolith,25,30,103.9,10.8,46.820486,30.001385,134000
monolith,26,30,104.6,10.8,46.820486,30.001385,149000
brick,5,6,106,30,46.791997,30.69668,157500
monolithBrick,3,16,110,22,46.79973,30.00684,159000
monolith,2,14,102,20,46.802427,30.826835,179000
monolithBrick,4,14,102,20,46.802427,30.826835,26489
monolith,2,14,102,20,46.802427,30.826835,105000
monolith,2,14,102,24,46.802427,30.826835,11000
panel,5,22,105,10,46.76684,30.035395,111000
monolithBrick,30,30,105,11,46.809965,30.020905,125000
panel,15,17,116.2,25,46.756847,30.826044,13000
monolithBrick,17,30,108,34,46.810531,30.028604,103000
monolithBrick,6,16,115,12,46.763812,30.032081,21000
monolith,2,11,102.1,16.2,46.79977,30.010889,124000
monolithBrick,8,15,105.1,20,46.763812,30.032081,106990
brick,2,6,103.4,25,46.764131,30.031146,124000
panel,9,14,119,11,46.778468,30.026286,139000
panel,9,14,119,26,46.778468,30.026286,165000
monolith,22,28,105,17,46.791607,30.080803,105000
monolith,4,18,113,15,46.794421,30.002262,114500
monolith,22,28,108.6,17.4,46.792569,30.080803,124000
monolith,20,28,109.7,12.2,46.792564,30.086285,125000
monolith,32,36,113,18,46.791618,30.086339,132000
monolithBrick,3,4,116,10,46.789289,30.65699,139500
monolithBrick,15,18,113,12,46.794421,30.002262,109900
monolithBrick,16,18,115,16,46.794421,30.002262,13000
monolith,9,39,101.4,17,46.788424,30.608541,146000
monolithBrick,9,12,119,8,46.794629,30.009892,15000
monolith,7,16,105.6,14.4,46.800423,30.010063,18000
monolith,30,30,102,25,46.81084,30.020688,132500
monolith,14,16,107.7,14.8,46.800423,30.010063,166000
panel,11,22,100,10,46.815271,30.833069,192500
panel,1,12,100,10,46.758742,30.808581,90000
panel,5,14,102,10,46.744941,30.800306,11000
block,6,22,105,10,46.801961,30.819855,139890
stalin,5,5,115.5,9,46.796395,30.800012,148000
brick,4,6,100.4,9.5,46.782481,30.040633,169500
monolith,10,25,105,14,46.787735,30.032691,175000
brick,6,15,111,17,46.763812,30.032081,189000
monolith,15,26,103,14.3,46.753792,30.0903,189000
brick,3,16,110,22,46.79973,30.00684,205000
monolithBrick,2,14,102,20,46.802427,30.826835,105000
monolithBrick,2,14,101.7,12,46.802427,30.826835,146500
monolith,12,19,110.3,14.7,46.81648,30.002158,153000
monolith,2,14,101.7,20,46.802427,30.826835,166000
brick,5,7,106,9,46.794426,30.690102,19800
monolith,22,31,101.4,13.5,46.81084,30.020688,188900
monolith,12,12,107.8,20,46.813885,30.800925,188900
monolith,30,30,105,37,46.809965,30.020905,189000
panel,11,22,103,12,46.76684,30.035395,192500
brick,9,10,113,13.5,46.781465,30.041818,19600
monolithBrick,14,14,105.2,12,46.754238,30.810331,145000
monolithBrick,14,18,100,11,46.811508,30.698915,122000
brick,2,7,116.4,15,46.785402,30.606655,134900
brick,3,9,115.7,10.2,46.78979,30.660393,134000
monolith,8,18,105,17,46.800423,30.010063,145500
monolith,23,35,114,37,46.791618,30.086339,21300
monolithBrick,2,14,101.7,20,46.802427,30.826835,239000
monolith,6,12,120,25,46.804663,30.00221,99000
monolithBrick,4,17,120,17,46.790676,30.600429,155000
panel,5,16,131.4,16,46.828446,30.809255,13600
monolith,12,15,140,28,46.793045,30.816989,245000
monolith,12,15,140,17,46.793045,30.816989,285000
monolithBrick,4,12,148,13,46.795732,30.688009,307500
monolith,4,35,144,15,46.792265,30.080111,346500
monolith,20,34,145,15,46.788424,30.608541,98000
stalin,1,5,121.9,8.4,46.797017,30.080653,133000
brick,2,6,120,40,46.761386,30.00681,176900
brick,7,7,125,16,46.789689,30.818355,185000
monolith,23,25,135,20,46.787735,30.032691,213000
monolith,20,20,146,15,46.759714,30.808985,105000
monolithBrick,11,13,123,15,46.794107,30.000223,114000
monolithBrick,7,18,120,15,46.793596,30.001849,16200
monolithBrick,10,13,120,15,46.794107,30.000223,123000
block,11,16,126.2,14.4,46.797139,30.693203,124990
monolith,10,28,134.6,20,46.792564,30.086285,128900
monolith,5,11,140,12.5,46.79977,30.010889,132000
monolithBrick,17,18,135,15,46.794421,30.002262,134900
monolithBrick,2,10,145,15,46.793227,30.000421,137000
monolithBrick,6,10,148,20,46.791,30.01161,149900
monolithBrick,14,20,124,34,46.795034,30.691028,157000
brick,5,5,120,14,46.785645,30.014941,168000
panel,4,17,127.4,10,46.737882,30.853865,173400
brick,5,7,140,14,46.818442,30.02239,185000
monolithBrick,7,7,124.8,16.6,46.789689,30.818355,187000
monolithBrick,15,16,146,11.9,46.738348,30.822128,216500
monolith,10,19,144,15,46.798586,30.802949,219000
monolith,11,28,135,17,46.792564,30.086285,227000
monolith,13,18,136.7,14,46.798586,30.802949,116000
panel,15,39,120,20,46.788424,30.608541,132000
monolith,14,19,151.5,18.7,46.796405,30.811808,137000
brick,9,16,152,21,46.79973,30.00684,138500
panel,15,17,150.6,18.4,46.799983,30.023053,139000
monolith,18,23,154,13,46.818017,30.01143,139500
brick,9,16,152,21,46.79973,30.00684,145000
monolithBrick,2,18,165,20,46.794421,30.002262,152000
monolithBrick,10,13,156,14,46.794107,30.000223,156100
monolith,9,18,159.3,14,46.793596,30.001849,147000
monolithBrick,7,18,160,16,46.793596,30.001849,189900
monolith,3,39,157,15,46.788424,30.608541,16300
monolith,5,18,159.3,14.1,46.793596,30.001849,18500
panel,2,17,155,17,46.799983,30.023053,185000
monolithBrick,9,10,177,20,46.793227,30.000421,205000
monolithBrick,10,10,183,20,46.793227,30.000421,16400
monolithBrick,19,19,175,19.5,46.79434,30.808186,205000
monolith,3,34,170,18,46.788424,30.608541,145000
monolith,3,24,170,18,46.788424,30.608541,155000
monolith,33,35,193,20.1,46.792265,30.080111,165000
monolith,3,20,180,13,46.795034,30.691028,177990
monolith,3,20,170,18,46.788424,30.608541,189900
monolith,7,23,230,83,46.788424,30.608541,19182806
monolith,7,23,230,83,46.788424,30.608541,22000
monolith,19,20,232.5,53.3,46.795034,30.691028,219990
monolithBrick,19,20,232.5,23.5,46.795034,30.691028,239000
monolithBrick,4,6,215,37,46.789284,30.686213,268000
monolith,30,30,207.7,16.8,46.81044,30.026908,113500
monolith,14,16,346,26,46.797306,30.803236,139900
monolith,19,21,309,34,46.777626,30.022235,139500
monolith,14,16,346,25,46.797306,30.803236,155000
brick,6,7,450,40,46.797119,30.68864,19700
monolithBrick,17,18,434,41,46.798586,30.802949,23000
brick,3,5,16,3,46.708166,30.68226,201000
panel,2,17,19,4,46.699548,30.936699,30100
block,1,12,17,4,46.737856,30.010153,153000
brick,1,5,15.56,2,46.705818,30.04509,152500
panel,2,5,17,3,46.722984,30.09102,163000
monolith,8,17,24,8,46.670844,30.005433,24300
brick,2,8,22.2,1.5,46.753575,30.013081,259500
monolith,3,17,23,6,46.670844,30.005433,31300
monolithBrick,8,17,23,6,46.670844,30.005433,183000
monolith,14,17,23,6,46.670844,30.005433,263000
panel,2,17,22,3,46.703048,30.918409,143000
monolith,12,14,23,4.7,46.670844,30.005433,145000
monolith,3,9,20.8,6.1,46.72887,30.039555,145000
monolith,8,17,23,6,46.670844,30.005433,149900
monolith,8,17,23,6,46.670844,30.005433,153000
monolith,14,17,22.2,4,46.670844,30.005433,173000
panel,2,17,20,5,46.699548,30.936699,176000
panel,2,25,22,4,46.704017,30.940921,179000
panel,2,19,21.3,4,46.698619,30.933602,185000
panel,2,19,23,8,46.698619,30.933602,189000
panel,2,17,23,2,46.699548,30.936699,191000
brick,1,5,21,2,46.680184,30.044038,199000
monolith,8,17,23,6,46.670844,30.005433,19900
monolith,14,17,23,6,46.670844,30.005433,19100
monolith,14,17,23,6,46.670844,30.005433,118000
brick,1,5,20.42,2,46.705818,30.04509,131000
monolith,10,17,25,8,46.670844,30.005433,135000
monolith,2,29,28.5,5.6,46.731541,30.032422,18500
monolith,10,17,25.1,6,46.670844,30.005433,165000
monolith,7,17,25,5,46.670844,30.005433,16700
monolith,10,19,29,2,46.725194,30.005119,175000
brick,2,9,29,7,46.708161,30.08652,177000
monolith,6,10,27,5,46.751959,30.686006,176000
monolith,9,23,28,6,46.753225,30.006903,179500
monolith,3,17,25.4,8.3,46.669904,30.00299,149900
monolith,2,5,28,8,46.751102,30.000505,255000
block,1,12,28,7,46.707096,30.816962,107000
brick,1,5,29,6,46.700517,30.038818,134500
brick,2,6,27,8,46.701836,30.048008,169880
monolith,11,19,29,6,46.725209,30.006081,172000
panel,1,16,27,3,46.738753,30.000332,188900
panel,17,17,31.3,7.9,46.703951,30.946886,201280
monolithBrick,23,25,30,5,46.729017,30.030318,225000
brick,1,5,31,6,46.679407,30.053919,225000
panel,2,9,31,6,46.704509,30.092915,31800
monolith,6,9,31,10,46.670844,30.005433,157000
monolith,6,9,31,10,46.670844,30.005433,198000
brick,5,8,31,6,46.724662,30.066262,208500
block,9,9,31.6,5.2,46.703226,30.09244,26100
block,9,9,30,6,46.710874,30.086,213000
brick,3,5,30.3,5,46.725412,30.06453,24300
panel,3,9,32,6,46.713136,30.000014,29600
block,8,9,32,6,46.698371,30.062192,356000
brick,6,9,30.1,6,46.666447,30.04553,198000
panel,3,9,32,6,46.695925,30.804988,369000
block,5,9,31,6,46.698381,30.081254,249400
monolithBrick,3,25,31.4,4,46.72887,30.039555,249500
brick,5,6,31.6,6,46.717173,30.668381,271920
panel,9,9,32,6,46.634375,30.095232,27013500
panel,2,9,32,6,46.637154,30.801934,222000
panel,8,17,31,7.9,46.703951,30.946886,40100
brick,5,9,30.5,6.5,46.634659,30.095565,185000
panel,1,9,32,6,46.706264,30.08184,19900
panel,1,9,32,6,46.706264,30.08184,50000
block,2,9,31.6,5.2,46.698107,30.062309,123000
brick,2,5,32,6,46.721838,30.090068,144900
panel,12,12,30.6,6,46.707096,30.816962,148000
block,3,9,32,6,46.695925,30.804988,19500
block,8,9,32,5,46.730233,30.00186,175000
brick,4,5,30,6,46.727075,30.00511,177000
panel,4,9,32,6,46.709109,30.0835,185000
brick,1,5,31,6,46.678905,30.043023,208000
brick,8,9,30,6,46.734532,30.040505,26300
brick,3,5,30.2,6,46.725412,30.06453,27500
brick,6,9,30.1,6,46.66532,30.046364,268500
panel,1,9,32,6,46.710783,30.068624,28700
panel,2,9,32,7,46.708617,30.080605,29800
panel,3,9,32,6,46.697879,30.085,289000
panel,3,5,32,6,46.71195,30.001445,34500
brick,6,9,30.1,6,46.666447,30.04553,135000
panel,7,9,31.9,5.5,46.706193,30.090399,138000
brick,6,9,30,6,46.666447,30.04553,19500
panel,13,17,32,1,46.701572,30.93024,155000
block,2,5,32,5.5,46.706137,30.051619,157000
brick,5,5,31,6,46.71588,30.095405,189000
monolith,4,9,31,10,46.670844,30.005433,19900
panel,2,5,32,5.5,46.706137,30.051619,152000
monolith,9,9,30.7,11.6,46.670844,30.005433,124000
panel,1,9,30.7,9,46.712041,30.811384,155000
panel,3,5,31.7,5.2,46.700344,30.059668,183000
brick,5,8,30,6,46.724662,30.066262,112000
panel,5,9,32,7,46.711666,30.091082,139000
panel,4,5,32,6,46.705184,30.003933,146500
block,1,9,31.5,9,46.706812,30.000349,147800
monolithBrick,16,32,32,5,46.646223,30.005832,176000
block,1,9,31.5,8.6,46.706812,30.000349,225000
brick,5,5,31,5.4,46.770547,30.009686,244500
brick,4,5,30,5,46.757881,30.01656,247500
monolith,8,17,30,7,46.74824,30.692995,289900
brick,3,9,31.1,7,46.727648,30.664824,295000
monolithBrick,2,10,30,6,46.74824,30.692995,299000
monolith,3,10,31.5,6,46.751959,30.686006,359900
monolith,6,9,32,5.5,46.773601,30.011895,366000
monolith,8,20,31,10,46.748858,30.683033,365000
monolithBrick,2,21,32,6,46.751979,30.690846,19800
brick,4,4,32,6,46.641707,30.090291,18900
panel,5,9,32,7.2,46.633414,30.8011,275000
block,1,9,31.8,6,46.706,30.056515,165000
brick,4,5,30,6,46.727075,30.00511,172800
panel,16,17,31.1,7.8,46.703951,30.946886,199900
brick,5,5,32,6,46.680712,30.050604,185000
panel,16,17,32,8,46.704022,30.948,265000
block,1,9,32,5.5,46.710783,30.068624,129000
panel,5,9,32,6,46.705777,30.080994,143000
block,7,9,31.4,6,46.698371,30.062192,16800
brick,2,5,31.2,6,46.683133,30.048035,185000
block,5,5,31,6,46.699345,30.056003,219900
brick,5,8,31,6,46.724662,30.066262,25200
monolith,4,9,31,10,46.670844,30.005433,221000
brick,1,5,30,6,46.706188,30.04094,228000
panel,11,12,31.2,8.1,46.718831,30.029801,24400
brick,6,9,31,6,46.699468,30.036024,30000
monolith,4,9,31,10,46.670844,30.005433,319000
panel,5,5,31,6,46.70003,30.05001,319000
block,7,9,31.5,6,46.710783,30.068624,388000
panel,1,5,31.7,6,46.705184,30.003933,138000
block,8,9,32,6,46.75246,30.010225,19500
panel,5,9,31,7.8,46.764886,30.01161,175000
brick,6,9,30.1,6,46.666447,30.04553,179000
panel,5,14,30.9,8.6,46.644547,30.03898,183000
brick,3,4,33.1,7,46.723846,30.089195,188000
block,5,9,33,6,46.716534,30.005343,187880
